Business_Unit,Product,Region,Country,Fiscal_Year,Fiscal_Quarter,Revenue,AOP
BBU,ProductA,North America,United States,2025,Q1,984859.77,1008642.74
BBU,ProductA,North America,United States,2025,Q2,104444.8,110164.24
BBU,ProductA,North America,United States,2025,Q3,288290.48,273243.96
BBU,ProductA,North America,United States,2025,Q4,540719.52,520087.71
BBU,ProductA,North America,Canada,2025,Q1,564620.46,548350.54
BBU,ProductA,North America,Canada,2025,Q2,827696.14,865838.0
BBU,ProductA,North America,Canada,2025,Q3,329197.33,331444.0
BBU,ProductA,North America,Canada,2025,Q4,570313.53,593866.45
BBU,ProductA,North America,Mexico,2025,Q1,654181.8,681788.0
BBU,ProductA,North America,Mexico,2025,Q2,786912.3,718742.23
BBU,ProductA,North America,Mexico,2025,Q3,886977.56,932743.67
BBU,ProductA,North America,Mexico,2025,Q4,126414.91,118304.43
BBU,ProductA,Europe,Germany,2025,Q1,725870.93,676455.36
BBU,ProductA,Europe,Germany,2025,Q2,917843.96,946176.57
BBU,ProductA,Europe,Germany,2025,Q3,353590.87,340484.8
BBU,ProductA,Europe,Germany,2025,Q4,823770.59,838428.0
BBU,ProductA,Europe,France,2025,Q1,337456.82,355962.85
BBU,ProductA,Europe,France,2025,Q2,497071.05,506369.03
BBU,ProductA,Europe,France,2025,Q3,262207.87,239149.04
BBU,ProductA,Europe,France,2025,Q4,399943.72,407244.1
BBU,ProductA,Europe,United Kingdom,2025,Q1,321042.85,292528.91
BBU,ProductA,Europe,United Kingdom,2025,Q2,553844.69,593726.9
BBU,ProductA,Europe,United Kingdom,2025,Q3,315949.6,342332.39
BBU,ProductA,Europe,United Kingdom,2025,Q4,353246.89,336663.64
BBU,ProductA,Asia,Japan,2025,Q1,904362.17,839141.4
BBU,ProductA,Asia,Japan,2025,Q2,971176.27,1028686.2
BBU,ProductA,Asia,Japan,2025,Q3,720134.35,760876.83
BBU,ProductA,Asia,Japan,2025,Q4,757844.33,769531.73
BBU,ProductA,Asia,China,2025,Q1,865938.36,831500.98
BBU,ProductA,Asia,China,2025,Q2,160139.88,166702.69
BBU,ProductA,Asia,China,2025,Q3,472490.07,514031.41
BBU,ProductA,Asia,China,2025,Q4,547997.6,524030.63
BBU,ProductA,Asia,South Korea,2025,Q1,214558.56,233680.69
BBU,ProductA,Asia,South Korea,2025,Q2,185491.85,169565.39
BBU,ProductA,Asia,South Korea,2025,Q3,368628.03,387305.66
BBU,ProductA,Asia,South Korea,2025,Q4,369717.2,384836.01
BBU,ProductB,North America,United States,2025,Q1,621048.76,617033.24
BBU,ProductB,North America,United States,2025,Q2,366612.92,340622.2
BBU,ProductB,North America,United States,2025,Q3,630681.24,658913.74
BBU,ProductB,North America,United States,2025,Q4,191212.64,188531.39
BBU,ProductB,North America,Canada,2025,Q1,398208.39,359792.63
BBU,ProductB,North America,Canada,2025,Q2,157641.32,153523.64
BBU,ProductB,North America,Canada,2025,Q3,910279.09,968323.63
BBU,ProductB,North America,Canada,2025,Q4,402010.88,416622.26
BBU,ProductB,North America,Mexico,2025,Q1,930028.88,865698.15
BBU,ProductB,North America,Mexico,2025,Q2,814703.15,885574.2
BBU,ProductB,North America,Mexico,2025,Q3,279765.04,253742.97
BBU,ProductB,North America,Mexico,2025,Q4,931719.44,942938.0
BBU,ProductB,Europe,Germany,2025,Q1,584289.85,608729.94
BBU,ProductB,Europe,Germany,2025,Q2,960008.95,884368.4
BBU,ProductB,Europe,Germany,2025,Q3,849211.37,785928.39
BBU,ProductB,Europe,Germany,2025,Q4,150496.89,159015.62
BBU,ProductB,Europe,France,2025,Q1,455063.01,484210.95
BBU,ProductB,Europe,France,2025,Q2,959402.47,909094.73
BBU,ProductB,Europe,France,2025,Q3,921599.49,1008040.68
BBU,ProductB,Europe,France,2025,Q4,436381.24,458555.24
BBU,ProductB,Europe,United Kingdom,2025,Q1,664591.62,719479.59
BBU,ProductB,Europe,United Kingdom,2025,Q2,189437.26,194396.17
BBU,ProductB,Europe,United Kingdom,2025,Q3,537137.27,519515.36
BBU,ProductB,Europe,United Kingdom,2025,Q4,975429.64,905981.05
BBU,ProductB,Asia,Japan,2025,Q1,178485.07,165838.42
BBU,ProductB,Asia,Japan,2025,Q2,607443.45,548359.09
BBU,ProductB,Asia,Japan,2025,Q3,978456.38,1065967.1
BBU,ProductB,Asia,Japan,2025,Q4,386138.74,349099.56
BBU,ProductB,Asia,China,2025,Q1,593950.32,537938.09
BBU,ProductB,Asia,China,2025,Q2,708342.08,683125.13
BBU,ProductB,Asia,China,2025,Q3,604189.43,662875.74
BBU,ProductB,Asia,China,2025,Q4,253243.69,242932.01
BBU,ProductB,Asia,South Korea,2025,Q1,472055.9,442903.26
BBU,ProductB,Asia,South Korea,2025,Q2,867259.3,874617.82
